primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_JEhYJ82xRI,Kalusha,Bwalya,SOCIAL_WORKER,+8765432101,k.bwalya,kalushabwalya17@gmail.com,test
CRVS_OFFICE_JEhYJ82xRI,Felix,Katongo,REGISTRATION_AGENT,+7654321098,f.katongo,kalushabwalya17+@gmail.com,test
CRVS_OFFICE_JEhYJ82xRI,Kennedy,Mweene,LOCAL_REGISTRAR,+6543210987,k.mweene,kalushabwalya1.7@gmail.com,test
CRVS_OFFICE_JWMRGwDBXK,Emmanuel,Mayuka,LOCAL_SYSTEM_ADMIN,+4321098765,e.mayuka,kalushabwalya.17@gmail.com,test
CRVS_OFFICE_JWMRGwDBXK,Jonathan,Campbell,NATIONAL_SYSTEM_ADMIN,+4321098761,j.campbell,kalushabwaly.a17@gmail.com,test
CRVS_OFFICE_JWMRGwDBXK,Patrick,Gondwe,LOCAL_LEADER,+4321098765,p.gondwe,kalushabwal.ya17@gmail.com,test
CRVS_OFFICE_Q4Fh1JZn6cP,Joshua,Mutale,REGISTRATION_AGENT,+4321098765,j.mutale,kalushabwa.lya17@gmail.com,test
CRVS_OFFICE_Q4Fh1JZn6cP,Derrick,Bulaya,LOCAL_REGISTRAR,+4321098765,d.bulaya,kalushabw.alya17@gmail.com,test
CRVS_OFFICE_Q4Fh1JZn6cP,Alex,Ngonga,LOCAL_SYSTEM_ADMIN,+4321098765,a.ngonga,kalushab.walya17@gmail.com,test
CRVS_OFFICE_R9gYvU6D5aD,Edgar,Kazembe,PERFORMANCE_MANAGER,+4321098765,e.kazembe,kalusha.bwalya17@gmail.com,test
CRVS_OFFICE_R9gYvU6D5aD,Joseph,Musonda,NATIONAL_REGISTRAR,+4321098765,j.musonda,kalush.abwalya17@gmail.com,test
